 TOT   INH   IND
19.1  19.1  19.1  Network.Socket.Internal throwSocketErrorIfMinus1RetryMayBlock (83550)
32.8  17.8    .4  Database.Bolt.Value.Instances unpackT (23613)
55.1  10.4    .9  Database.Bolt.Connection.Pipe fetch (24363)
99.9   8.3   6.3  MAIN MAIN (0)
10.9   6.8   2.4  Database.Bolt.Value.Instances unpackNum (218161)
 6.8   6.8   6.8  Database.Bolt.Value.Instances decodeStrict (265189)
 5.5   5.3    .3  NEAT.Algo zipEdges (62166)
 9.5   3.7   1.3  Data.Vector.Fusion.Util >>= (1868144)
18.0   2.8    .8  Database.Bolt.Connection.Pipe flush (22296)
 3.2   2.6    .1  Database.Bolt.Value.Instances pack (11148)
79.5   2.6     -  NEAT.Store storeGeneration (7)
21.1   2.0    .2  Network.Connection withBackend (57057)
 3.4   1.9    .4  Database.Bolt.Value.Instances observeW8 (108197)
 1.8   1.8     -  Data.UUID.V4 nextRandom (0)
 1.4   1.4   1.4  Database.Bolt.Value.Instances encodeStrict (27763)
 1.4   1.2    .5  Util |> (108528)
  .8    .8     -  Data.UUID.Types.Internal show (0)
  .7    .7     -  System.Random random (18746)
11.4    .7    .2  Database.Bolt.Value.Instances unpackW8 (259263)
63.3    .6    .4  Database.Bolt.Connection sendRequest (9081)
74.2    .5     -  Database.Bolt.Connection run (0)
  .5    .5    .5  Database.Bolt.Value.Instances topBS (24993)
 1.1    .4    .3  NEAT.Data showsPrec (20404)
  .4    .4    .4  Data.Vector basicUnsafeIndexM (653423)
11.2    .3    .2  Database.Bolt.Connection.Connection send (29877)


19.1  19.1  19.1  Network.Socket.Internal throwSocketErrorIfMinus1RetryMayBlock (83550)


32.8  17.8    .4  Database.Bolt.Value.Instances unpackT (23613)
30.3  17.2    .6    Database.Bolt.Value.Instances unpackT.unpackByMarker (24363)
29.4  16.3   1.6      Database.Bolt.Value.Instances unpackT.unpackStructureBySize (24363)
26.8  14.7    .9        Database.Bolt.Value.Instances unpackT (119995)
12.2   6.2    .2          Database.Bolt.Value.Instances unpackT (18162)
11.1   5.8    .1            Database.Bolt.Value.Instances unpackT.unpackByMarker (18162)
11.0   5.7    .1              Database.Bolt.Value.Instances unpackT.unpackDictBySize (0)
10.9   5.6   1.1                Database.Bolt.Value.Instances unpackT.unpackPairsBySize (18162)
 6.2   3.3   1.9                  Database.Bolt.Value.Instances unpackT.unpackByMarker (55483)
 3.0   1.0    .5                    Database.Bolt.Value.Instances unpackT (46402)
 2.0     -     -                      Database.Bolt.Value.Instances unpackW8 (46402)
  .3    .3    .2                      Database.Bolt.Value.Instances unpackT.unpackByMarker (42502)
  .2    .2    .2                        Database.Bolt.Value.Instances unpackT.unpackTextBySize (8331)
  .1    .1    .1                      Database.Bolt.Value.Instances unpackT.unpackTextBySize (8331)
  .6     -     -                    Database.Bolt.Value.Instances observeW8 (0)
  .3     -     -                    Database.Bolt.Value.Instances unpackW8 (0)
  .1    .1    .1                    Database.Bolt.Value.Helpers isInt (0)
  .1    .1     -                    Database.Bolt.Value.Helpers isList (0)
  .1    .1    .1                    Database.Bolt.Value.Helpers isText (0)
 3.0   1.2    .3                  Database.Bolt.Value.Instances unpackT (0)
 1.8     -     -                    Database.Bolt.Value.Instances unpackW8 (18162)
  .7    .7    .4                    Database.Bolt.Value.Instances unpackT.unpackByMarker (50833)
  .3    .3    .3                      Database.Bolt.Value.Instances unpackT.unpackTextBySize (34171)
  .1    .1    .1                      Database.Bolt.Value.Helpers isTinyText (0)
  .1    .1    .1                    Database.Bolt.Value.Instances unpackT.unpackTextBySize (8331)
  .6     -     -                  Database.Bolt.Value.Instances observeW8 (0)
  .5     -     -            Database.Bolt.Value.Instances unpackW8 (16662)
  .3    .1     -            Database.Bolt.Value.Instances unpackT.unpackDictBySize (16662)
  .3    .1     -              Database.Bolt.Value.Instances unpackT.unpackPairsBySize (0)
  .3    .1    .1                Database.Bolt.Value.Instances unpackT (50833)
  .2     -     -                  Database.Bolt.Value.Instances unpackW8 (50833)
12.1   7.5   1.2          Database.Bolt.Value.Instances unpackT.unpackByMarker (64512)
 9.9   5.3    .1            Database.Bolt.Value.Instances unpackT (17199)
 8.7   5.0     -              Database.Bolt.Value.Instances unpackT.unpackByMarker (17199)
 8.2   4.8    .1                Database.Bolt.Value.Instances unpackT.unpackDictBySize (0)
 8.1   4.7   1.9                  Database.Bolt.Value.Instances unpackT.unpackPairsBySize (15282)
 5.2   2.5    .9                    Database.Bolt.Value.Instances unpackT (31616)
 2.7     -     -                      Database.Bolt.Value.Instances unpackW8 (43849)
 1.1   1.1    .2                      Database.Bolt.Value.Instances unpackT.unpackByMarker (45016)
  .3    .3    .1                        Database.Bolt.Value.Instances unpackT.unpackListBySize (1917)
  .1    .1     -                          Database.Bolt.Value.Instances unpackT (1385)
  .3    .3    .3                        Database.Bolt.Value.Instances unpackT.unpackTextBySize (19833)
  .3    .3    .3                      Database.Bolt.Value.Instances unpackT.unpackTextBySize (9716)
  .7     -     -                    Database.Bolt.Value.Instances observeW8 (0)
  .4    .1    .1                Database.Bolt.Value.Instances unpackT.unpackListBySize (1917)
  .3     -     -                  Database.Bolt.Value.Instances unpackT (1917)
  .2     -    .1                    Database.Bolt.Value.Instances unpackT.unpackByMarker (1917)
  .2     -     -                      Database.Bolt.Value.Instances unpackI16 (1917)
  .2     -     -                        Database.Bolt.Value.Instances unpackNum (1917)
  .1     -     -                    Database.Bolt.Value.Instances unpackW8 (1385)
  .7     -     -              Database.Bolt.Value.Instances unpackW8 (12165)
  .2     -     -              Database.Bolt.Value.Instances unpackT.unpackDictBySize (11101)
  .2     -     -                Database.Bolt.Value.Instances unpackT.unpackPairsBySize (0)
  .2     -     -                  Database.Bolt.Value.Instances unpackT (26357)
  .2     -     -                    Database.Bolt.Value.Instances unpackW8 (26357)
  .2    .2    .2            Database.Bolt.Value.Helpers isList (0)
  .1    .1    .1            Database.Bolt.Value.Helpers isInt (0)
  .1    .1     -            Database.Bolt.Value.Helpers isText (0)
 1.5     -     -          Database.Bolt.Value.Instances observeW8 (108197)
 1.0     -     -        Database.Bolt.Value.Instances unpackW8 (20817)
 1.9     -     -    Database.Bolt.Value.Instances unpackW8 (22631)


55.1  10.4    .9  Database.Bolt.Connection.Pipe fetch (24363)
33.2    .4    .3    Database.Bolt.Value.Type unpack (24363)
32.8     -     -      Database.Bolt.Value.Instances unpackT (23613)
20.3   8.4   1.5    Database.Bolt.Connection.Pipe fetch.chunks (47226)
16.9   6.7   1.3      Database.Bolt.Connection.Pipe recvChunk (95952)
15.6   5.4   1.7        Database.Bolt.Connection.Pipe recvChunk.helper (152379)
13.9   3.7    .3          Database.Bolt.Connection.Connection recv (54927)
13.6   3.4     -            Network.Connection connectionGetExact (73089)
13.5   3.3   1.3              Network.Connection connectionGetExact.loop (146178)
12.4   2.2    .2                Network.Connection connectionGet (73089)
12.0   1.8    .9                  Network.Connection connectionGetChunkBase (73089)
11.0    .8    .2                    Network.Connection connectionGetChunkBase.\ (73089)
10.2     -     -                      Network.Connection withBackend (22296)
  .6    .6    .6                      Network.Connection connectionGetChunkBase.updateBuf (58296)
 1.7     -     -      Database.Bolt.Value.Instances decodeStrict (28600)
  .2    .2    .2    Database.Bolt.Connection.Instances fromStructure (16662)


99.9   8.3   6.3  MAIN MAIN (0)
93.7   2.0     -    Main main (0)
93.7   2.0     -      Main simulate (0)
93.6   1.9     -        NEAT.Algo simulate (1)
86.7   1.2     -          NEAT.Algo simulate.\ (6)
73.3     -     -            NEAT.Store storeGeneration (6)
13.4   1.2     -            NEAT.Algo evolve (6)
 8.5     -     -              NEAT.Algo speciate (6)
 8.5     -     -                Data.Vector.Fusion.Util >>= (1584097)
 4.3   1.1    .1              NEAT.Algo reproduceSpecies (439)
 3.0    .7    .1                NEAT.Algo crossover (1384)
 1.0    .3    .1                  NEAT.Algo unifyBoundaryNodeId (1384)
  .5     -     -                    Data.UUID.V4 nextRandom (0)
  .3    .2     -                    NEAT.Algo unifyBoundaryNodeId.replace (2768)
  .1    .1    .1                      NEAT.Algo unifyBoundaryNodeId.replace.newNodes (2143)
  .1     -     -                      NEAT.Algo unifyBoundaryNodeId.replace.newEdges (2768)
  .1     -     -                        Util |> (2768)
  .1    .1     -                      NEAT.Algo unifyBoundaryNodeId.replace.(...) (2143)
  .1    .1     -                        NEAT.Algo mapFold (2143)
  .1    .1     -                          NEAT.Algo mapFold.(...) (2143)
  .1     -     -                    NEAT.Algo unifyBoundaryNodeId.numInputs (1384)
  .1     -     -                      NEAT.Algo unifyBoundaryNodeId.countInputs (2768)
  .1     -     -                        Util |> (5536)
 1.0    .2     -                  NEAT.Algo replaceNodeId (1384)
  .5     -     -                    Data.UUID.V4 nextRandom (0)
  .2     -     -                    NEAT.Algo replaceNodeId.newEdges (1384)
  .2     -     -                      Data.Vector.Fusion.Util >>= (13538)
  .1    .1    .1                    NEAT.Algo replaceNodeId.table (1384)
  .1     -     -                    NEAT.Algo replaceNodeId.newNodes (1384)
